sku,nom,marque,prix,note,lien,image,category
bdf27d33-355d-4434-bdd2-a03e1009d487,ROLLER FITNESS ENFANT FIT3 JR NOIR KHAKI,OXELO,"549,00 MAD",7674.0,https://www.decathlon.ma/p/157932-107491-roller-fitness-enfant-fit3-jr-noir-khaki.html,https://contents.mediadecathlon.com/p2606838/1cr1/k$a854c132f5efbc20af7dc30986bd0e4e/prod.jpg?format=auto&f=1024x0,exterieur
9c1a6066-2bf7-418a-8fa4-9fc587bd6ec6,Ballon de football First Kick taille 5 (joueurs de 12 ans et plus) jaune,KIPSTA,"49,00 MAD",6774.0,https://www.decathlon.ma/p/334351-54688-ballon-de-football-first-kick-taille-5-joueurs-de-12-ans-et-plus-jaune.html,https://contents.mediadecathlon.com/p2606798/1cr1/k$67ad9a88845032fbaa0aef1e501870ec/prod.jpg?format=auto&f=1024x0,exterieur
c05ba188-01eb-472a-aa51-49d7bcae0d19,Ballon de football First Kick taille 3 (enfants de moins de 9 ans) bleu,KIPSTA,"49,00 MAD",6774.0,https://www.decathlon.ma/p/334351-54540-ballon-de-football-first-kick-taille-3-enfants-de-moins-de-9-ans-bleu.html,https://contents.mediadecathlon.com/p2606740/1cr1/k$482410fa2468cee9b0fb873e71f0b847/prod.jpg?format=auto&f=1024x0,exterieur
46900614-d1c0-462e-a65f-92d1439ffdc2,Ballon de football First Kick taille 4 (enfants entre 9 à 12 ans) rouge,KIPSTA,"49,00 MAD",6774.0,https://www.decathlon.ma/p/334351-57801-ballon-de-football-first-kick-taille-4-enfants-entre-9-a-12-ans-rouge.html,https://contents.mediadecathlon.com/p2606834/1cr1/k$f7fd5a4266d528650a32dd3de43e7ffb/prod.jpg?format=auto&f=1024x0,exterieur
dc561b66-3231-4e89-8518-52c1bfb58e7b,Ballon de football Hybride FIFA BASIC CLUB BALL taille 5 blanc,KIPSTA,"129,00 MAD",1778.0,https://www.decathlon.ma/p/344994-114266-ballon-de-football-hybride-fifa-basic-club-ball-taille-5-blanc.html,https://contents.mediadecathlon.com/p2571324/1cr1/k$b8eb7ffc64e71f30ff4188ccb001e17d/prod.jpg?format=auto&f=1024x0,exterieur
f48e1b7c-66fb-4662-9bda-35a88572ae51,"Vtt enfant 20"" expl 500 orange 6-9 ans",ROCKRIDER,"3 199,00 MAD",1522.0,https://www.decathlon.ma/p/337823-118633-vtt-enfant-20-expl-500-orange-6-9-ans.html,https://contents.mediadecathlon.com/p2519724/1cr1/k$b0bbc6f5d35707252ec18040d1941747/prod.jpg?format=auto&f=1024x0,exterieur
a5e35945-e5d7-46ff-9e31-42b4c404f5d0,"VÉLO VTT RANDONNÉE EXPL 500 NOIR 29""",ROCKRIDER,"5 999,00 MAD",1240.0,https://www.decathlon.ma/p/330628-131520-velo-vtt-randonnee-expl-500-noir-29.html,https://contents.mediadecathlon.com/p2623157/1cr1/k$56a387f834df8816d5aabd60fd676bba/prod.jpg?format=auto&f=1024x0,exterieur
1e9157b3-8055-4062-a6c9-c7e1824790c5,Roller fitness enfant FIT 5 Jr rose kaki,OXELO,"649,00 MAD",1996.0,https://www.decathlon.ma/p/15103-129800-roller-fitness-enfant-fit-5-jr-rose-kaki.html,https://contents.mediadecathlon.com/p2152375/1cr1/k$abf827df7335031d0675b5f7083a3c2b/prod.jpg?format=auto&f=1024x0,exterieur
dc35e8d6-b47d-44c6-9e2a-35a87ccc084f,Ballon de football Hybride FIFA BASIC CLUB BALL taille 5 neige brouillard rouge,KIPSTA,"129,00 MAD",1778.0,https://www.decathlon.ma/p/344994-108804-ballon-de-football-hybride-fifa-basic-club-ball-taille-5-neige-brouillard-rouge.html,https://contents.mediadecathlon.com/p2571372/1cr1/k$5bd1aba5178508b7780f20761e34f522/prod.jpg?format=auto&f=1024x0,materiels-enfants
a1f989ab-0962-43e0-a140-8f0ecfffab7c,Trottinette enfant MID1 Neon Lavander,OXELO,"699,00 MAD",549.0,https://www.decathlon.ma/p/348713-105673-trottinette-enfant-mid1-neon-lavander.html,https://contents.mediadecathlon.com/p2562522/1cr1/k$60090610bb075ac65cd7fa0931663cda/prod.jpg?format=auto&f=1024x0,materiels-enfants
910852e1-ff4f-4d34-bfbc-d4a0997ccea2,Ballon de football Light LEARNING BALL BLANC NOIR TAILLE 5,KIPSTA,"99,00 MAD",2123.0,https://www.decathlon.ma/p/330946-67770-ballon-de-football-light-learning-ball-blanc-noir-taille-5.html,https://contents.mediadecathlon.com/p2379949/1cr1/k$73b6b0595d7604af4a1fbfefc3f63bc5/prod.jpg?format=auto&f=1024x0,materiels-enfants
d243d48d-850f-428d-b99c-5d9d545810d5,Ballon de football Light LEARNING BALL JAUNE ROSE TAILLE 5,KIPSTA,"99,00 MAD",2123.0,https://www.decathlon.ma/p/330946-67838-ballon-de-football-light-learning-ball-jaune-rose-taille-5.html,https://contents.mediadecathlon.com/p2379943/1cr1/k$9105af896dcd7ac53ece34ad44ffb145/prod.jpg?format=auto&f=1024x0,materiels-enfants
4b5589c3-9960-4190-ba39-356b13e29b52,Ballon de basketball taille 7 - bt500 fiba - marron,TARMAK,"249,00 MAD",1833.0,https://www.decathlon.ma/p/333543-109116-ballon-de-basketball-taille-7-bt500-fiba-marron.html,https://contents.mediadecathlon.com/p3035854/1cr1/k$6b6b2810b07e320de96a602e455351f6/prod.jpg?format=auto&f=1024x0,materiels-enfants
6ad21f99-817b-49cc-851d-2b33181431d8,Casque velo enfant 500 rose,BTWIN,"199,00 MAD",3144.0,https://www.decathlon.ma/p/338990-58262-casque-velo-enfant-500-rose.html,https://contents.mediadecathlon.com/p2728119/1cr1/k$a46c63252b9a1c54e00862695073b308/prod.jpg?format=auto&f=1024x0,materiels-enfants
0698529f-0448-463d-9731-892447582461,Ballon de football Hybride FIFA BASIC CLUB BALL taille 5 jaune,KIPSTA,"129,00 MAD",1778.0,https://www.decathlon.ma/p/344994-115507-ballon-de-football-hybride-fifa-basic-club-ball-taille-5-jaune.html,https://contents.mediadecathlon.com/p2585591/1cr1/k$98f49b9ff4ac6de0c0f51eaeca72fe01/prod.jpg?format=auto&f=1024x0,materiels-enfants
398b1263-f96b-444a-9896-1f3d5a448738,Roller enfant PLAY5 Menthe,OXELO,"399,00 MAD",2341.0,https://www.decathlon.ma/p/7961-110416-roller-enfant-play5-menthe.html,https://contents.mediadecathlon.com/p2332208/1cr1/k$8ee4e97385033a45c451b37d080cdec5/prod.jpg?format=auto&f=1024x0,materiels-enfants
3aeb031e-f2d6-4c50-a79a-5a5ae861f61c,Set 3x2 protections roller trottinette skate enfant PLAY Bleu,OXELO,"149,00 MAD",7341.0,https://www.decathlon.ma/p/14777-112835-set-3x2-protections-roller-trottinette-skate-enfant-play-bleu.html,https://contents.mediadecathlon.com/p2574132/1cr1/k$a77b681e3b2a5a86b1fbd01c22485c2a/prod.jpg?format=auto&f=1024x0,materiels-enfants
f8b25715-937c-486b-97b5-62d903b4f6b1,"Bouteille isotherme inox 0,4L avec gobelet pour la randonnée - bleu",QUECHUA,"139,00 MAD",2671.0,https://www.decathlon.ma/p/109005-55539-bouteille-isotherme-inox-04l-avec-gobelet-pour-la-randonnee-bleu.html,https://contents.mediadecathlon.com/p2579026/1cr1/k$f56a9239feaa211dc20fbbd03bf8c7cd/prod.jpg?format=auto&f=1024x0,nutrition-et-soin
69e1b496-9fc0-481d-8617-315ae3c440f8,Gourde 500 alu 1L avec bouchon ouverture rapide pour la randonnée - Bleu,QUECHUA,"129,00 MAD",4238.0,https://www.decathlon.ma/p/330041-125759-gourde-500-alu-1l-avec-bouchon-ouverture-rapide-pour-la-randonnee-bleu.html,https://contents.mediadecathlon.com/p2902215/1cr1/k$0fe8a050e2f25b32bdb6a2b2d832fbda/prod.jpg?format=auto&f=1024x0,nutrition-et-soin
ffd79949-05d4-4e7d-ae69-384b7600bf00,"Gourde alu 1,5l avec bouchon à ouverture rapide pour la randonnée bleu",QUECHUA,"149,00 MAD",2180.0,https://www.decathlon.ma/p/330071-134916-gourde-alu-15l-avec-bouchon-a-ouverture-rapide-pour-la-randonnee-bleu.html,https://contents.mediadecathlon.com/p2902233/1cr1/k$28432c60681f88caf4bdc466da9ecf8c/prod.jpg?format=auto&f=1024x0,nutrition-et-soin
1767b974-9b0e-4575-a9fd-c89a6f3994cd,"Gourde 500 enfant 0,6L en alu, bouchon instantané, pipette et paille, randonnée",QUECHUA,"119,00 MAD",4343.0,https://www.decathlon.ma/p/122246-46301-gourde-500-enfant-06l-en-alu-bouchon-instantane-pipette-et-paille-randonnee.html,https://contents.mediadecathlon.com/p1969644/1cr1/k$eb880d91c8bc67e373587213137eeb51/prod.jpg?format=auto&f=1024x0,nutrition-et-soin
842ca845-fd20-44c2-abea-8147a94645bd,"Gourde 500 ecozen® 0,8l avec bouchon ouverture rapide pour la randonnée - Bleu",QUECHUA,"69,00 MAD",4059.0,https://www.decathlon.ma/p/345452-67210-gourde-500-ecozenR-08l-avec-bouchon-ouverture-rapide-pour-la-randonnee-bleu.html,https://contents.mediadecathlon.com/p2579472/1cr1/k$bdba5f0e785b2cff8b8dde15419ea87b/prod.jpg?format=auto&f=1024x0,nutrition-et-soin
